{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 3688, 'username': None, 'name': 'svchost.exe'}
{'pid': 3792, 'username': None, 'name': 'spoolsv.exe'}
{'pid': 3844, 'username': None, 'name': 'svchost.exe'}
{'pid': 3856, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'RuntimeBroker.exe'}
{'pid': 3864, 'username': None, 'name': 'svchost.exe'}
{'pid': 3872, 'username': None, 'name': 'svchost.exe'}
{'pid': 4040, 'username': None, 'name': 'svchost.exe'}
{'pid': 4100, 'username': None, 'name': 'svchost.exe'}
{'pid': 4108, 'username': None, 'name': 'svchost.exe'}
{'pid': 4196, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'RuntimeBroker.exe'}
{'pid': 4236, 'username': None, 'name': 'CxAudMsg64.exe'}
{'pid': 4244, 'username': None, 'name': 'svchost.exe'}
{'pid': 4264, 'username': None, 'name': 'CxUtilSvc.exe'}
{'pid': 4276, 'username': None, 'name': 'SASrv.exe'}
{'pid': 4284, 'username': None, 'name': 'AdminService.exe'}
{'pid': 4292, 'username': None, 'name': 'IntelCpHDCPSvc.exe'}
{'pid': 4300, 'username': None, 'name': 'SecurityHealthService.exe'}
{'pid': 4308, 'username': None, 'name': 'WEBPROT.EXE'}
{'pid': 4316, 'username': None, 'name': 'ETDService.exe'}
{'pid': 4356, 'username': None, 'name': 'NPProt.exe'}
{'pid': 4372, 'username': None, 'name': 'Ext2Srv.exe'}
{'pid': 4380, 'username': None, 'name': 'sqlwriter.exe'}
{'pid': 4388, 'username': None, 'name': 'IpOverUsbSvc.exe'}
{'pid': 4424, 'username': None, 'name': 'TeamViewer_Service.exe'}
{'pid': 4468, 'username': None, 'name': 'armsvc.exe'}
{'pid': 4520, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'ETDCtrl.exe'}
{'pid': 4556, 'username': None, 'name': 'AGMService.exe'}
{'pid': 4588, 'username': None, 'name': 'svchost.exe'}
{'pid': 4628, 'username': None, 'name': 'svchost.exe'}
{'pid': 4684, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 4732, 'username': None, 'name': 'AGSService.exe'}
{'pid': 4764, 'username': None, 'name': 'svchost.exe'}
{'pid': 4860, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 5032, 'username': None, 'name': 'IntelCpHeciSvc.exe'}
{'pid': 5164, 'username': None, 'name': 'conhost.exe'}
