{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'}
{'pid': 2504, 'name': 'fsnotifier64.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 2524, 'name': 'svchost.exe', 'username': None}
{'pid': 2568, 'name': 'igfxCUIService.exe', 'username': None}
{'pid': 2592, 'name': 'svchost.exe', 'username': None}
{'pid': 2620, 'name': 'svchost.exe', 'username': None}
{'pid': 2624, 'name': 'svchost.exe', 'username': None}
{'pid': 2632, 'name': 'svchost.exe', 'username': None}
{'pid': 2648, 'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 2676, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 2700, 'name': 'svchost.exe', 'username': None}
{'pid': 2712, 'name': 'Memory Compression', 'username': None}
{'pid': 2832, 'name': 'svchost.exe', 'username': None}
{'pid': 2992, 'name': 'nvxdsync.exe', 'username': None}
{'pid': 3104, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 3128, 'name': 'svchost.exe', 'username': None}
{'pid': 3136, 'name': 'svchost.exe', 'username': None}
{'pid': 3144, 'name': 'svchost.exe', 'username': None}
{'pid': 3204, 'name': 'ZVMOUNT.EXE', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 3212, 'name': 'svchost.exe', 'username': None}
{'pid': 3220, 'name': 'svchost.exe', 'username': None}
{'pid': 3228, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 3364, 'name': 'svchost.exe', 'username': None}
{'pid': 3488, 'name': 'svchost.exe', 'username': None}
{'pid': 3496, 'name': 'svchost.exe', 'username': None}
{'pid': 3504, 'name': 'svchost.exe', 'username': None}
{'pid': 3512, 'name': 'svchost.exe', 'username': None}
{'pid': 3520, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 3536, 'name': 'SmartAudio.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 3636, 'name': 'svchost.exe', 'username': None}
{'pid': 3672, 'name': 'svchost.exe', 'username': None}
{'pid': 3680, 'name': 'svchost.exe', 'username': None}
{'pid': 3688, 'name': 'svchost.exe', 'username': None}
{'pid': 3792, 'name': 'spoolsv.exe', 'username': None}
{'pid': 3844, 'name': 'svchost.exe', 'username': None}
{'pid': 3856, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 3864, 'name': 'svchost.exe', 'username': None}
{'pid': 3872, 'name': 'svchost.exe', 'username': None}
{'pid': 4040, 'name': 'svchost.exe', 'username': None}
{'pid': 4056, 'name': 'WmiPrvSE.exe', 'username': None}
{'pid': 4100, 'name': 'svchost.exe', 'username': None}
{'pid': 4108, 'name': 'svchost.exe', 'username': None}
{'pid': 4192, 'name': 'NPAV4.EXE', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 4196, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 4236, 'name': 'CxAudMsg64.exe', 'username': None}
{'pid': 4244, 'name': 'svchost.exe', 'username': None}
{'pid': 4264, 'name': 'CxUtilSvc.exe', 'username': None}
{'pid': 4276, 'name': 'SASrv.exe', 'username': None}
{'pid': 4284, 'name': 'AdminService.exe', 'username': None}
{'pid': 4292, 'name': 'IntelCpHDCPSvc.exe', 'username': None}
{'pid': 4300, 'name': 'SecurityHealthService.exe', 'username': None}
{'pid': 4308, 'name': 'WEBPROT.EXE', 'username': None}
{'pid': 4316, 'name': 'ETDService.exe', 'username': None}
{'pid': 4356, 'name': 'NPProt.exe', 'username': None}
{'pid': 4372, 'name': 'Ext2Srv.exe', 'username': None}
{'pid': 4380, 'name': 'sqlwriter.exe', 'username': None}
{'pid': 4388, 'name': 'IpOverUsbSvc.exe', 'username': None}
{'pid': 4424, 'name': 'TeamViewer_Service.exe', 'username': None}
{'pid': 4468, 'name': 'armsvc.exe', 'username': None}
{'pid': 4520, 'name': 'ETDCtrl.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 4556, 'name': 'AGMService.exe', 'username': None}
{'pid': 4588, 'name': 'svchost.exe', 'username': None}
{'pid': 4628, 'name': 'svchost.exe', 'username': None}
{'pid': 4684, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 4732, 'name': 'AGSService.exe', 'username': None}
{'pid': 4764, 'name': 'svchost.exe', 'username': None}
{'pid': 4860, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 5032, 'name': 'IntelCpHeciSvc.exe', 'username': None}
{'pid': 5164, 'name': 'conhost.exe', 'username': None}
{'pid': 5380, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 5540, 'name': 'CAudioFilterAgent64.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 5592, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 5616, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 5632, 'name': 'unsecapp.exe', 'username': None}
{'pid': 5768, 'name': 'sihost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 5872, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
