--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0}
{'name': 'svchost.exe', 'username': None, 'pid': 4040}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 4056}
{'name': 'svchost.exe', 'username': None, 'pid': 4100}
{'name': 'svchost.exe', 'username': None, 'pid': 4108}
{'name': 'NPAV4.EXE', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 4192}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 4196}
{'name': 'CxAudMsg64.exe', 'username': None, 'pid': 4236}
{'name': 'svchost.exe', 'username': None, 'pid': 4244}
{'name': 'CxUtilSvc.exe', 'username': None, 'pid': 4264}
{'name': 'SASrv.exe', 'username': None, 'pid': 4276}
{'name': 'AdminService.exe', 'username': None, 'pid': 4284}
{'name': 'IntelCpHDCPSvc.exe', 'username': None, 'pid': 4292}
{'name': 'SecurityHealthService.exe', 'username': None, 'pid': 4300}
{'name': 'WEBPROT.EXE', 'username': None, 'pid': 4308}
{'name': 'ETDService.exe', 'username': None, 'pid': 4316}
{'name': 'NPProt.exe', 'username': None, 'pid': 4356}
{'name': 'Ext2Srv.exe', 'username': None, 'pid': 4372}
{'name': 'sqlwriter.exe', 'username': None, 'pid': 4380}
{'name': 'IpOverUsbSvc.exe', 'username': None, 'pid': 4388}
{'name': 'TeamViewer_Service.exe', 'username': None, 'pid': 4424}
{'name': 'armsvc.exe', 'username': None, 'pid': 4468}
{'name': 'ETDCtrl.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 4520}
{'name': 'AGMService.exe', 'username': None, 'pid': 4556}
{'name': 'svchost.exe', 'username': None, 'pid': 4588}
{'name': 'svchost.exe', 'username': None, 'pid': 4628}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 4684}
{'name': 'AGSService.exe', 'username': None, 'pid': 4732}
{'name': 'svchost.exe', 'username': None, 'pid': 4764}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 4860}
{'name': 'IntelCpHeciSvc.exe', 'username': None, 'pid': 5032}
{'name': 'conhost.exe', 'username': None, 'pid': 5164}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 5380}
{'name': 'CAudioFilterAgent64.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 5540}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 5592}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 5616}
{'name': 'unsecapp.exe', 'username': None, 'pid': 5632}
{'name': 'sihost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 5768}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 5872}
{'name': 'DolbyDAX2TrayIcon.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6168}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6428}
{'name': 'svchost.exe', 'username': None, 'pid': 6452}
{'name': 'svchost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6476}
{'name': 'svchost.exe', 'username': None, 'pid': 6488}
{'name': 'MSASCuiL.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6504}
{'name': 'svchost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6652}
{'name': 'Creative Cloud.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6696}
{'name': 'SearchUI.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6708}
{'name': 'ShellExperienceHost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6720}
{'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6772}
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 7004}
{'name': 'DolbyDAX2API.exe', 'username': None, 'pid': 7064}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7204}
{'name': 'RdrCEF.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7252}
{'name': 'Explorer.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7272}
{'name': 'WSHelper.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7316}
{'name': 'ETDCtrlHelper.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7352}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7360}
{'name': 'svchost.exe', 'username': None, 'pid': 7364}
{'name': 'APCONSVC.EXE', 'username': None, 'pid': 7376}
{'name': 'svchost.exe', 'username': None, 'pid': 7500}
{'name': 'OneDrive.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7544}
{'name': 'EMON.EXE', 'username': None, 'pid': 7564}
{'name': 'ETDIntelligent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7608}
{'name': 'figma_agent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7748}
{'name': 'AcroRd32.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7780}
{'name': 'rundll32.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7956}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7996}
{'name': 'cmd.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8000}
{'name': 'igfxEM.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8184}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8360}
